# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
2.600000000000000000e+03	4.000000000000000000e+00	-5.000000000000000000e-01	1.336911198697505713e+09	2.065192200272521734e+09	6.628772200346961021e+08	2.308645039572430775e+06	6.887511630857576430e+07	2.503921485803760216e+07	4.861725467670303583e+08	8.581180764170341492e+08	5.977203708683199435e+07	4.917943462157075852e+07	6.707584492762682438e+08	9.515813371512377262e+07	3.296333571329805851e+08	1.779718262333868265e+09	1.315118914403321981e+09	4.072530062559214979e+07	6.334607652776812315e+08	9.360090639170722663e+07	1.814453538330964744e+06	1.432963227397413254e+09	1.726579266138501465e+08	6.453134064703512937e+07	2.236968053980140076e-07	2.334587675557989996e+02
2.600000000000000000e+03	4.500000000000000000e+00	2.999999999999999889e-01	1.344780842112962961e+09	2.160661696836615086e+09	6.878847544558284283e+08	3.417229664123275783e+06	5.261370910078395903e+07	2.307555042077194154e+07	3.749426937673932910e+08	6.716481216471599340e+08	4.720429070553287864e+07	3.876066088984636962e+07	4.426285611300351620e+08	7.501846774786944687e+07	2.197274736398671567e+08	1.674568979222659588e+09	1.050693018282080054e+09	3.328490736413043737e+07	4.167262573764382601e+08	7.321646881588737667e+07	2.705370309270419646e+06	1.205933158123041391e+09	1.724360149825660884e+08	6.487172035839293897e+07	3.558627677076525014e-07	1.706795891205096325e+02
2.600000000000000000e+03	4.500000000000000000e+00	5.000000000000000000e-01	1.319916749227325439e+09	2.153665198554647446e+09	6.818118217887310982e+08	4.294495518894193694e+06	5.192929553157809377e+07	2.414012399173962697e+07	3.569516588497995734e+08	6.386377025283391476e+08	4.695469942351530492e+07	3.857980995640207827e+07	4.105618318886273503e+08	7.426514233042655885e+07	2.060812295872825682e+08	1.633975869915886641e+09	9.959507230539109707e+08	3.349573578354464844e+07	3.873120082897366881e+08	7.236113433082474768e+07	3.399557976130111143e+06	1.154846109157207251e+09	1.716838421145001054e+08	6.486909574491880834e+07	3.849613890374525512e-07	1.952357693538447450e+02
2.600000000000000000e+03	4.500000000000000000e+00	0.000000000000000000e+00	1.367502609758558989e+09	2.150130775303384304e+09	6.855149561378610134e+08	2.155245279346586205e+06	5.148782752820202708e+07	2.078789881437085941e+07	4.026655630250867009e+08	7.235718305664615631e+08	4.577881530053725094e+07	3.765992387666301429e+07	4.981935681885498166e+08	7.326575055150835216e+07	2.424044333345352709e+08	1.722316697343932867e+09	1.137203405661259651e+09	3.171740466445630416e+07	4.679095095648611784e+08	7.172207775832276046e+07	1.705550712326602777e+06	1.282792566784157276e+09	1.717099428317698836e+08	6.384913303705240041e+07	3.056774932472184041e-07	1.227824392788568986e+02
2.600000000000000000e+03	4.500000000000000000e+00	-5.000000000000000000e-01	1.365404359169779062e+09	2.117952501399689913e+09	6.448377548344972134e+08	1.154668156367825577e+06	5.985709349865825474e+07	2.010955601415849105e+07	4.937766597340951562e+08	8.804618557736132145e+08	5.345630519377239048e+07	4.174829453993362933e+07	6.804570053001455069e+08	8.914278190839157999e+07	3.299730823282292485e+08	1.827211085107936621e+09	1.366201319709387541e+09	3.368898640545102209e+07	6.409558421840765476e+08	8.831072877567468584e+07	9.030047854261121247e+05	1.481086561853278637e+09	1.714306511589072347e+08	6.225253841211356968e+07	2.384934683160785438e-07	1.161523841738211473e+02
2.600000000000000000e+03	5.000000000000000000e+00	2.999999999999999889e-01	1.402482642753588915e+09	2.211808100025332928e+09	6.984385493166354895e+08	1.612599834507469088e+06	4.731595916679036617e+07	1.831383211051061004e+07	3.813201153290441632e+08	6.893106045378526449e+08	4.307450872613009810e+07	3.346382566886349395e+07	4.484076272762543559e+08	7.169782412393991649e+07	2.194628791348249316e+08	1.725192447157796860e+09	1.088425568754354715e+09	2.784035776045335457e+07	4.211289745382611156e+08	7.035438511337344348e+07	1.268791618222198216e+06	1.245665171877474546e+09	1.721770857447460890e+08	6.293407857197918743e+07	5.510688018097259259e-07	9.283167753154017987e+01
2.600000000000000000e+03	5.000000000000000000e+00	5.000000000000000000e-01	1.373989780832811832e+09	2.200659873833381653e+09	6.933634032710102797e+08	1.927368507160131121e+06	4.440397751830734313e+07	1.841272618287032470e+07	3.547032441562826037e+08	6.425696700410234928e+08	4.055193522470904142e+07	3.205591412857762352e+07	4.015694860667749643e+08	6.673897806302082539e+07	1.974664301812899709e+08	1.674437911928495884e+09	1.014520449046893001e+09	2.705864446836680546e+07	3.775968517204400301e+08	6.530813902833503485e+07	1.516811806372165214e+06	1.177678094993442774e+09	1.705623960544356108e+08	6.268825403014292568e+07	5.613515423665326655e-07	8.033836515145559076e+01
2.600000000000000000e+03	5.000000000000000000e+00	0.000000000000000000e+00	1.414851006870199442e+09	2.191476158573319435e+09	6.833951610497680902e+08	9.818967905671310145e+05	4.488939958980763704e+07	1.624753129475178383e+07	4.074048114218497276e+08	7.390880114495388269e+08	4.095023266607984155e+07	3.143847226423259079e+07	5.027372686074374914e+08	6.921125843651877344e+07	2.412739580693113506e+08	1.759966893635193825e+09	1.174264990084519863e+09	2.561759892419465259e+07	4.709094597351055741e+08	6.817557416340520978e+07	7.719523359373583226e+05	1.318356007768578529e+09	1.708407575868621469e+08	6.156355320293970406e+07	4.798826205969225486e-07	7.612743746784938992e+01
2.600000000000000000e+03	5.500000000000000000e+00	2.999999999999999889e-01	1.449758094249935150e+09	2.225506300436732769e+09	6.972542246367698908e+08	6.542572148562939838e+05	3.810906496338402480e+07	1.343769479609260522e+07	3.737296593885111809e+08	6.844877096530787945e+08	3.593140779910165071e+07	2.575438504859481752e+07	4.339064038657780290e+08	6.341205301363207400e+07	2.081387388463149667e+08	1.730367730255631447e+09	1.096235387698111773e+09	2.068524872902449593e+07	4.059237744098808169e+08	6.262504238655434549e+07	5.061554417967760819e+05	1.251227512017989159e+09	1.702043213208051920e+08	6.021653879384137690e+07	9.906263642889947404e-06	5.100846014005162488e+01
2.600000000000000000e+03	5.500000000000000000e+00	5.000000000000000000e-01	1.429684902084371090e+09	2.220224862308078766e+09	7.013285969616053104e+08	7.469057754427215550e+05	3.621782304569489509e+07	1.344878064135575294e+07	3.492287780382665992e+08	6.407065559813770056e+08	3.413929779395646602e+07	2.488487269212663919e+07	3.902646248067995906e+08	5.970862619236709177e+07	1.880928725903439522e+08	1.688007091066242456e+09	1.024092354636502624e+09	2.023121953782016784e+07	3.656093130523055792e+08	5.878073424446564913e+07	5.794530446697575971e+05	1.187193712831857443e+09	1.691512172539609969e+08	6.020985758176816255e+07	1.542211044670769910e-06	4.304269736682658731e+01
