# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
2.500000000000000000e+03	2.000000000000000000e+00	5.000000000000000000e-01	1.258947079875645638e+09	2.010153193620628357e+09	6.009269159768486023e+08	1.800402875091280043e+07	1.482341235708454624e+07	1.784215633213740960e+07	1.740695782932285070e+08	3.214555848134920597e+08	1.634932864384450577e+07	1.182025118925597705e+07	1.770002892704319060e+08	2.352008876777138188e+07	8.251327906461538374e+07	1.002497264171839952e+09	4.980366743701128960e+08	1.194651244910527207e+07	1.637856101493749619e+08	2.265068573317850381e+07	1.500168939056333527e+07	6.386446956608405113e+08	1.395231508945887685e+08	5.645964551815041155e+07	9.391638993176621184e-10	9.890973725918487389e+02
2.500000000000000000e+03	2.500000000000000000e+00	5.000000000000000000e-01	1.066235779910539865e+09	1.808138998177834034e+09	5.768118889914263487e+08	1.580533586850942299e+07	2.901004602913402021e+07	2.019335236673338339e+07	2.302273665068291128e+08	4.131486902961553335e+08	2.922634010621493310e+07	1.946396867950193211e+07	2.677459524280674160e+08	4.761021505203935504e+07	1.325167706985275447e+08	1.104535579633583784e+09	6.263638657066427469e+08	1.783396527896434814e+07	2.505912177198253572e+08	4.636108339369956404e+07	1.299764024400427938e+07	7.593504533828116655e+08	1.527671040266215205e+08	6.075489794339051098e+07	2.002315748617511431e-08	1.532682914620874044e+03
2.500000000000000000e+03	3.000000000000000000e+00	5.000000000000000000e-01	1.083922953997058630e+09	1.792393272616764545e+09	5.952289132982678413e+08	1.506049848447751999e+07	3.959986259831919521e+07	2.438611616081637889e+07	2.732075125498599410e+08	4.845721306069042683e+08	3.876539750824537128e+07	2.749373203511026874e+07	3.306441547788451910e+08	6.250200529218326509e+07	1.668782872394300699e+08	1.209770312017986059e+09	7.319774196902207136e+08	2.491730531679624319e+07	3.112288062888552547e+08	6.087292574343492091e+07	1.226030980565790460e+07	8.626468657422120571e+08	1.597725996178542376e+08	6.335273662583660334e+07	8.031202306253432705e-08	2.717737674713400338e+03
2.500000000000000000e+03	3.500000000000000000e+00	5.000000000000000000e-01	1.110780044986557245e+09	1.810631115627988815e+09	6.063108518234164715e+08	1.306806460784437135e+07	4.119571500068526715e+07	2.528893300840944424e+07	2.869579521791789532e+08	5.100370031740695834e+08	3.993529170098557323e+07	2.980838869436267763e+07	3.498091771595297456e+08	6.292977571809528023e+07	1.753545881223118901e+08	1.258455402190777302e+09	7.743870787650830746e+08	2.701875657341457158e+07	3.291712155730267763e+08	6.140234321038063616e+07	1.052615785584831238e+07	9.047891698651884794e+08	1.606627994843644500e+08	6.352567734788248688e+07	1.064325221614843803e-07	2.881293921654253154e+03
2.500000000000000000e+03	4.000000000000000000e+00	5.000000000000000000e-01	1.149117131412376642e+09	1.852858429365521669e+09	6.179455645876717567e+08	1.037980130409636721e+07	3.995742785829237103e+07	2.442797363037098572e+07	2.923605363065413833e+08	5.227657685756123066e+08	3.860078955595776439e+07	2.947416460301168635e+07	3.564284386469088197e+08	6.023097458589392155e+07	1.764731070000499189e+08	1.291611705695497274e+09	7.991803136877763271e+08	2.660025153423194960e+07	3.346593630758783817e+08	5.901433684001234919e+07	8.239906156215710565e+06	9.297633953363778591e+08	1.596138121073999107e+08	6.268712832678273320e+07	1.172128326122956114e-07	2.228718177459393246e+03
2.500000000000000000e+03	4.500000000000000000e+00	5.000000000000000000e-01	1.193927983204320908e+09	1.897321425910202503e+09	6.288985812662870884e+08	7.123784852756909095e+06	3.911344170082591474e+07	2.231644062523572519e+07	2.975565394151402116e+08	5.347589182920137644e+08	3.768853577861513942e+07	2.813725008125267550e+07	3.649147654956288934e+08	6.001399966823916882e+07	1.791744011963337660e+08	1.312176914017482042e+09	8.207545497722712755e+08	2.492556805876368284e+07	3.418763847572326064e+08	5.913108586301256716e+07	5.498309704612150788e+06	9.487197724729446173e+08	1.567250862518961728e+08	6.069298372101037949e+07	9.030041042219867526e-08	1.195718878797106072e+03
2.500000000000000000e+03	5.000000000000000000e+00	5.000000000000000000e-01	1.240852593342795849e+09	1.934297908551943541e+09	6.375087999358279705e+08	4.084420683752288111e+06	4.183593473725624382e+07	1.981698418417696282e+07	3.162897527378272414e+08	5.684219180933376551e+08	4.037292552133126557e+07	2.737743379291895777e+07	3.979067075818840861e+08	6.850362526181583107e+07	1.962239709166204035e+08	1.349832360146304369e+09	8.680349856397715807e+08	2.327901319756992906e+07	3.727217533447220325e+08	6.788864439239335060e+07	2.963571192719835322e+06	9.903772359789870977e+08	1.524843914214458168e+08	5.767066503678809851e+07	3.564353678193937423e-08	4.376046149126264595e+02
2.500000000000000000e+03	5.500000000000000000e+00	5.000000000000000000e-01	1.285982101099364519e+09	1.964187168732937574e+09	6.411741155508379936e+08	2.014946418933056528e+06	5.206824639697080106e+07	2.031251358868234977e+07	3.669827448519771695e+08	6.536290817501317263e+08	5.115888405813336372e+07	3.238399116962838545e+07	4.774987365139148235e+08	8.928275544206298888e+07	2.408052257380108237e+08	1.423298739969180822e+09	1.001099682127032757e+09	2.683244753120044619e+07	4.506480316971144080e+08	8.935663593168120086e+07	1.302704248091162415e+06	1.099407284258267641e+09	1.476840730110500157e+08	5.411984132393835485e+07	8.698940080474709125e-09	1.243974185766868601e+02
2.500000000000000000e+03	6.000000000000000000e+00	5.000000000000000000e-01	1.312548002839550734e+09	1.978334110568794727e+09	6.278048394549740553e+08	9.132725528810967226e+05	6.634401194205587357e+07	2.016549552706234902e+07	4.149934576108672619e+08	7.284361589920367002e+08	6.558846614863017201e+07	3.765982563705755025e+07	5.515129197768839598e+08	1.215824739373251349e+08	2.880240860800969601e+08	1.490249930783281326e+09	1.099769584671426535e+09	3.014858549501548335e+07	5.253922177087033987e+08	1.212604228414065391e+08	4.998766927349048783e+05	1.187304186271021843e+09	1.443446845736138225e+08	5.123302161528962106e+07	9.493786392377846887e-09	4.020255846451324544e+01
2.600000000000000000e+03	0.000000000000000000e+00	5.000000000000000000e-01	1.525142700907403946e+09	1.791462208643424273e+09	7.353433636191751957e+08	4.076583578833740670e+06	7.278299162859492004e+06	6.038655597911735065e+06	9.877454501227425039e+07	1.836715776088546813e+08	7.439952099945698865e+06	5.256261611673042178e+06	9.664613690853837132e+07	1.242804562893904001e+07	4.512413984016482532e+07	5.971766282800481319e+08	2.827898924318372011e+08	4.927190323236173950e+06	8.987380458802911639e+07	1.170140489415504411e+07	3.396881763530377764e+06	3.730917222536551952e+08	1.460950703205594420e+08	5.386463481791041791e+07	3.348285938771056454e-11	2.783766229794034075e+02
